"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
"MA010120220805432626","올리브펜션","","I1","숙박","I101","일반 숙박","I10103","펜션","I55109","기타 일반 및 생활 숙박시설 운영업","51","강원특별자치도","51110","춘천시","51110340","남면","5111034027","남면","5111034027103670022","1","대지",367,22,"강원특별자치도 춘천시 남면 한덕리 367-22","511104454240","강원특별자치도 춘천시 남면 바깥말길",115,16,"4211034027103670022000001","","강원특별자치도 춘천시 남면 바깥말길 115-16","250857","24469","","","",127.621353205821,37.6826944707887
"MA010120220805433077","먹자골","","I2","음식","I201","한식","I20101","백반/한정식","I56111","한식 일반 음식점업","51","강원특별자치도","51110","춘천시","51110600","후평1동","5111012000","후평동","5111012000106860000","1","대지",686,,"강원특별자치도 춘천시 후평동 686","511104454675","강원특별자치도 춘천시 춘천로281번길",6,,"4211012000106860000031680","","강원특별자치도 춘천시 춘천로281번길 6","200959","24256","","1","",127.744364761992,37.881002448903
"MA010120220805435541","대관령진흥사업단","","N1","시설관리·임대","N111","산업용품 대여","N11199","기타 산업용 기계/장비 대여업","N76390","기타 산업용 기계 및 장비 임대업","51","강원특별자치도","51760","평창군","51760380","대관령면","5176038024","대관령면","5176038024103450062","1","대지",345,62,"강원특별자치도 평창군 대관령면 횡계리 345-62","517603228021","강원특별자치도 평창군 대관령면 올림픽로",108,7,"4276038024103450062000001","","강원특별자치도 평창군 대관령면 올림픽로 108-7","232954","25347","","2","",128.703805132157,37.6698671906394
"MA010120220805435618","젊은부자","","M1","과학·기술","M112","전문 디자인","M11202","제품 디자인업","M73202","제품 디자인업","51","강원특별자치도","51150","강릉시","51150572","포남2동","5115011100","포남동","5115011100110580005","1","대지",1058,5,"강원특별자치도 강릉시 포남동 1058-5","511504460450","강원특별자치도 강릉시 보래미하길65번길",4,,"4215011100110580005008751","","강원특별자치도 강릉시 보래미하길65번길 4","210952","25480","","","",128.912670288611,37.7751264172817
"MA010120220805435795","선인상사홍천강주유소춘천방향","","G2","소매","G214","연료 소매","G21401","주유소","G47711","운송장비용 주유소 운영업","51","강원특별자치도","51720","홍천군","51720380","북방면","5172038036","북방면","5172038036102940000","1","대지",294,,"강원특별자치도 홍천군 북방면 소매곡리 294","517204475182","강원특별자치도 홍천군 북방면 도사곡길",223,,"4272038036102910000000001","","강원특별자치도 홍천군 북방면 도사곡길 223","250883","25112","","","",127.826278290637,37.7130714234605
"MA010120220805436322","팀크로우","","N1","시설관리·임대","N108","기타 사업 서비스","N10802","전시/컨벤션/행사 대행 서비스업","N75992","전시, 컨벤션 및 행사 대행업","51","강원특별자치도","51130","원주시","51130380","판부면","5113038022","판부면","5113038022120030001","1","대지",2003,1,"강원특별자치도 원주시 판부면 서곡리 2003-1","511304457439","강원특별자치도 원주시 판부면 오성마을길",83,,"4213038022120030001000001","","강원특별자치도 원주시 판부면 오성마을길 83","220912","26400","","1","",127.947350532895,37.3201608933973
"MA010120220805435835","하얏트모텔","","I1","숙박","I101","일반 숙박","I10102","여관/모텔","I55102","여관업","51","강원특별자치도","51150","강릉시","51150665","경포동","5115013800","안현동","5115013800108570005","1","대지",857,5,"강원특별자치도 강릉시 안현동 857-5","511503220050","강원특별자치도 강릉시 해안로",541,,"4215013800108570005017474","","강원특별자치도 강릉시 해안로 541","210380","25460","","","",128.902637684876,37.8070275763106
"MA010120220805435723","세운세무법인천곡지점","","M1","과학·기술","M104","회계·세무","M10402","세무사","M71202","세무사업","51","강원특별자치도","51170","동해시","51170510","천곡동","5117010100","천곡동","5117010100110760000","1","대지",1076,,"강원특별자치도 동해시 천곡동 1076","511703221044","강원특별자치도 동해시 천곡로",68,,"4217010100010760000003976","현대코아","강원특별자치도 동해시 천곡로 68","240810","25768","","2","",129.112809793555,37.5232734659548
"MA010120220805435428","패션클러스터","","M1","과학·기술","M107","본사·경영 컨설팅","M10703","경영 컨설팅업","M71531","경영 컨설팅업","51","강원특별자치도","51110","춘천시","51110250","신북읍","5111025023","신북읍","5111025023102350000","1","대지",235,,"강원특별자치도 춘천시 신북읍 유포리 235","511104454214","강원특별자치도 춘천시 신북읍 맥국길",252,13,"4211025023102350000041989","","강원특별자치도 춘천시 신북읍 맥국길 252-13","200824","24203","","","",127.776806026949,37.9535016480653
"MA010120220805434488","비알호텔","","I1","숙박","I101","일반 숙박","I10102","여관/모텔","I55102","여관업","51","강원특별자치도","51150","강릉시","51150520","중앙동","5115010800","성남동","5115010800101100005","1","대지",110,5,"강원특별자치도 강릉시 성남동 110-5","511504460910","강원특별자치도 강릉시 중앙시장3길",15,4,"4215010800101100005001077","","강원특별자치도 강릉시 중앙시장3길 15-4","210050","25544","","","",128.896572826045,37.7515261286306
